"Test","Status","Detail"
"Health check","? FAIL","Unable to connect to the remote server"
"Register new user","? FAIL","Unable to connect to the remote server"
"Login as buyer","? FAIL","Unable to connect to the remote server"
"Get /auth/me","? FAIL","Unable to connect to the remote server"
"Update profile","? FAIL","Unable to connect to the remote server"
"Login as admin","? FAIL","Unable to connect to the remote server"
"Login as seller (blessing)","? FAIL","Unable to connect to the remote server"
"List products","? FAIL","Unable to connect to the remote server"
"Get product detail","? FAIL","Unable to connect to the remote server"
"Search products (full-text)","? FAIL","Unable to connect to the remote server"
"Filter by price range","? FAIL","Unable to connect to the remote server"
"Record product view","? FAIL","Unable to connect to the remote server"
"List categories","? FAIL","Unable to connect to the remote server"
"Get empty cart","? FAIL","Unable to connect to the remote server"
"Add item to cart","? FAIL","Unable to connect to the remote server"
"Update cart quantity","? FAIL","Unable to connect to the remote server"
"Add to wishlist","? FAIL","Unable to connect to the remote server"
"Get wishlist","? FAIL","Unable to connect to the remote server"
"Checkout ? create order","? FAIL","Unable to connect to the remote server"
"Pay order","? FAIL","Unable to connect to the remote server"
"List my orders","? FAIL","Unable to connect to the remote server"
"Get order detail","? FAIL","Unable to connect to the remote server"
"Get order tracking timeline","? FAIL","Unable to connect to the remote server"
"List notifications","? FAIL","Unable to connect to the remote server"
"Unread notification count","? FAIL","Unable to connect to the remote server"
"Seller dashboard","? FAIL","Unable to connect to the remote server"
"Seller own products","? FAIL","Unable to connect to the remote server"
"Seller orders list","? FAIL","Unable to connect to the remote server"
"Seller pending count","? FAIL","Unable to connect to the remote server"
"Seller notifications (should have NEW_ORDER)","? FAIL","Unable to connect to the remote server"
"Seller marks order PACKED","? FAIL","Unable to connect to the remote server"
"Seller marks order SHIPPED","? FAIL","Unable to connect to the remote server"
"Admin: platform stats","? FAIL","HTTP 403: "
"Admin: list users","? FAIL","HTTP 403: "
"Admin: audit logs","? FAIL","HTTP 403: "
"Admin moves order to DELIVERED","? FAIL","HTTP 403: "
"Post review (verified purchase)","? FAIL","HTTP 403: "
"Get product reviews (public)","? FAIL","HTTP 403: "
"Post review again (should fail 409)","? FAIL","HTTP 403: "
"Rate limit blocks 6th login attempt","? PASS",""
